Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
27,Dalano Banton,PG,24,BOS,24,171,9.9,0.468,0.314,0.392,7.9,13.9,11,13.9,1.4,1.5,14.3,17.8,,0,0.2,0.2,0.063,,-4.7,0.6,-4.1,-0.1
27,Dalano Banton,PG,24,POR,30,876,14,0.508,0.408,0.223,3.5,15.5,9.1,20.5,1.6,1.8,12,27.2,,-0.4,0.7,0.3,0.016,,0.1,-0.9,-0.8,0.3
28,Dominick Barlow,PF,20,SAS,33,420,14.6,0.548,0.08,0.372,11.5,17.7,14.5,11.7,1.4,2.8,6.4,14.1,,0.7,0.4,1.1,0.126,,-1.7,0,-1.7,0
29,Harrison Barnes,PF,31,SAC,82,2381,11.9,0.611,0.526,0.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,,3.1,1.5,4.7,0.094,,-0.6,-1.2,-1.8,0.1
30,Scottie Barnes,SG,22,TOR,60,2094,19.5,0.566,0.314,0.266,7.3,18.9,13,26.2,1.7,3.7,13.6,24.8,,2.3,2,4.3,0.098,,2.9,0.8,3.7,3
31,RJ Barrett,SG,23,TOT,58,1838,16.4,0.58,0.284,0.331,3.1,16,9.5,16.7,0.8,1.1,11.1,26.5,,1.6,1.2,2.9,0.075,,0.7,-1.5,-0.8,0.6
31,RJ Barrett,SG,23,NYK,26,766,14.3,0.536,0.335,0.32,2.8,13.5,8.1,12.8,0.8,1.1,9.6,27.6,,0.4,0.7,1.1,0.07,,-0.3,-1.7,-2,0
31,RJ Barrett,SG,23,TOR,32,1072,17.8,0.615,0.244,0.339,3.4,17.8,10.5,19.5,0.9,1.1,12.3,25.7,,1.2,0.5,1.7,0.078,,1.5,-1.4,0.1,0.6
32,Charles Bassey,C,23,SAS,19,205,17.7,0.739,0.025,0.15,12,28.2,20,14.1,1.9,6.9,26,11.9,,0.3,0.4,0.7,0.157,,-1.8,3.1,1.3,0.2
33,Emoni Bates,SF,20,CLE,15,133,2.6,0.404,0.673,0.082,0.9,10.9,5.9,10,0.4,1.4,13.6,19.5,,-0.4,0.1,-0.3,-0.092,,-6.2,-3,-9.2,-0.2
34,Keita Bates-Diop,SF,28,TOT,53,665,11.5,0.534,0.416,0.253,5.5,12.8,9.3,7.4,1.8,2.9,7.5,13,,0.5,0.8,1.3,0.091,,-1.5,0.4,-1,0.2
